Row Labels,Sum of Percent with religious exemption
10TH STREET SCHOOL,0.6
2,0.6
49TH STREET ACADEMY,0
3,0
A G WEST BLACK HILLS HIGH SCHOOL,0.7
10,0.7
A J WEST ELEMENTARY,0
6,0
ABRAHAM LINCOLN ELEMENTARY,0
8,0
ACADEMIC INSTITUTE,0
9,0
ACADEMY FOR PRECISION LEARNING,1.7
7,1.7
ACADEMY NW/FAMILY ACADEMY,4.4
1,4.4
ACADEMY OF CITIZENSHIP AND EMPOWERMENT,0
9,0
ACADEMY OF CONST AND ENGINEERING,0.5
2,0.5
ACADEMY SCHOOLS / CHILDREN’S ACADEMY,0
9,0
ACCELERATION ACADEMY,0.8
10,0.8
ACES HIGH SCHOOL,0
2,0
ACME ELEMENTARY,0
1,0
ADAMS ELEMENTARY,2
4,0.3
5,1.7
ADAMS ELEMENTARY SCHOOL,0
4,0
7,0
ADELAIDE ELEMENTARY SCHOOL,0
9,0
ADNA ELEMENTARY SCHOOL,0
0,0
ADNA ELEMENTARY/MIDDLE/HIGH SCHOOL,0.3
0,0.3
AHTANUM VALLEY ELEMENTARY,0
4,0
AIM HIGH SCHOOL,0
1,0
AKI KUROSE MIDDLE SCHOOL,0
9,0
ALBERT EINSTEIN MIDDLE SCHOOL,0.1
7,0.1
ALCOTT ELEMENTARY,0.1
1,0.1
ALCUIN SCHOOL,0
7,0
ALDERWOOD ELEMENTARY SCHOOL,0
1,0
ALDERWOOD MIDDLE SCHOOL,0.4
2,0.4
ALFARETTA HOUSE,0
10,0
"ALGER LEARNING CENTER, INC.",0
2,0
ALKI ELEMENTARY SCHOOL,0
7,0
ALKI MIDDLE SCHOOL,0.6
3,0.6
ALL SAINTS CATHOLIC SCHOOL,0
5,0
ALL SAINTS SCHOOL,0
10,0
ALLEN CREEK ELEMENTARY SCHOOL,0.2
2,0.2
ALLEN ELEMENTARY,0.3
2,0.3
ALMIRA COULEE HARTLINE HIGH SCHOOL,0
4,0
ALMIRA ELEMENTARY SCHOOL,0
0,0
ALPAC ELEMENTARY SCHOOL,0.5
8,0.5
ALTERNATIVE HIGH SCHOOL,0
6,0
ALTERNATIVE SCHOOL (METHOW VALLEY INDEPENDENT  LC),0
4,0
AMAZING GRACE CHRISTIAN SCHOOL,0
9,0
AMBOY MIDDLE SCHOOL,0.5
3,0.5
AMERICA'S CHILD MONTESSORI,0
9,0
AMISTAD ELEMENTARY SCHOOL,0
4,0
ANACORTES HIGH SCHOOL,0.3
2,0.3
ANACORTES MIDDLE SCHOOL,0.2
2,0.2
ANDERSON ISLAND ELEMENTARY,0
10,0
ANGELO GIAUDRONE MIDDLE SCHOOL,0.2
6,0.2
ANNIE WRIGHT SCHOOL,0
6,0
APOLLO ELEMENTARY,0.3
8,0.3
APOLO HIGH SCHOOL,0
3,0
APP AT LINCOLN,0.3
7,0.3
APPLE VALLEY ELEMENTARY,0
4,0
APPLIED SCHOLASTICS ACADEMY OF SEATTLE,0
7,0
ARBOR HEIGHTS ELEMENTARY SCHOOL,0.2
7,0.2
ARBOR SCHOOLS,0
8,0
ARCADIA ELEMENTARY,0.2
0,0.2
ARCHBISHOP THOMAS J. MURPHY HIGH SCHOOL,0
1,0
ARDMORE ELEMENTARY SCHOOL,0.2
9,0.2
ARLINGTON ELEMENTARY,1
5,1
ARLINGTON ELEMENTARY SCHOOL,0
6,0
ARLINGTON HIGH SCHOOL,0.7
2,0.7
ARMIN JAHR ELEMENTARY,0
6,0
ARROWHEAD ELEMENTARY,0
1,0
ARTHUR JACOBSEN ELEMENTARY,0.2
8,0.2
ARTONDALE ELEMENTARY SCHOOL,0.5
6,0.5
ARTS AND ACADEMICS ACADEMY,0
7,0
ARTZ FOX ELEMENTARY,0
0,0
ASOTIN ELEMENTARY,0.2
0,0.2
ASPIRE MIDDLE SCHOOL,0
10,0
ASSUMPTION CATHOLIC SCHOOL,0
2,0
ASSUMPTION GRADE SCHOOL,2
5,2
ASSUMPTION SCHOOL,0
5,0
ASSUMPTION ST. BRIDGET,0
7,0
AUBURN ADVENTIST ACADEMY,0.9
8,0.9
AUBURN MOUNTAINVIEW HIGH SCHOOL,0.1
8,0.1
AUBURN RIVERSIDE HIGH SCHOOL,0.2
8,0.2
AUBURN SENIOR HIGH SCHOOL,0.3
8,0.3
AUDUBON ELEMENTARY,0.3
1,0
5,0.3
AVANTI HIGH SCHOOL,1.3
10,1.3
AYLEN JR HIGH,0
10,0
B F DAY ELEMENTARY SCHOOL,0.3
7,0.3
BADGER MOUNTAIN ELEMENTARY,0.2
4,0.2
BAILEY GATZERT ELEMENTARY SCHOOL,0.3
9,0.3
BAINBRIDGE HIGH SCHOOL,0.2
6,0.2
BAKER MIDDLE SCHOOL,0.6
6,0.6
BAKER VIEW CHRISTIAN SCHOOL,0
1,0
BALBOA ELEMENTARY,0
5,0
